#
 0,                   dumb,20,  0.25,  0.00,           *         |                   
#
 1,                  smart,30,  0.29,  0.00,              *      |                   
 1,                  smart,50,  0.30,  0.00,              *      |                   
 1,                  smart,40,  0.30,  0.00,               *     |                   
 1,                   dumb,30,  0.30,  0.00,               *     |                   
#
 2,                   dumb,50,  0.36,  0.00,                  *  |                   
#
 3,                   dumb,40,  0.40,  0.00,                     *                   
#
 4,                  smart,20,  0.43,  0.00,                     | *                 
 4,                asIs,65536,  0.44,  0.10,               ----- |  *  ----          
