#
 0,                  smart,40,  0.20,  0.00, *                   |                   
#
 1,                  smart,20,  0.22,  0.00, *                   |                   
 1,                   dumb,50,  0.22,  0.00, *                   |                   
 1,                  smart,50,  0.22,  0.00, *                   |                   
#
 2,                   dumb,30,  0.23,  0.00,  *                  |                   
#
 3,                   dumb,20,  0.25,  0.00,   *                 |                   
 3,                   dumb,40,  0.25,  0.00,   *                 |                   
#
 4,                  smart,30,  0.34,  0.00,       *             |                   
#
 5,                 asIs,1599,  0.60,  0.20,                     *                   
