#
 0,                  smart,40,  0.00,  0.00, *                   |                   
#
 1,                  smart,20,  0.05,  0.00,   *                 |                   
#
 2,                  smart,30,  0.07,  0.00,    *                |                   
#
 3,                   dumb,30,  0.13,  0.00,      *              |                   
 3,                  smart,50,  0.13,  0.00,      *              |                   
 3,                   dumb,50,  0.14,  0.00,      *              |                   
#
 4,                   dumb,20,  0.25,  0.00,           *         |                   
#
 5,                   dumb,40,  0.28,  0.00,             *       |                   
#
 6,                 asIs,4653,  0.48,  0.13,                ---  *  ----------       
