#
 0,                  smart,50,  0.21,  0.00,    *                |                   
 0,                  smart,30,  0.21,  0.00,    *                |                   
#
 1,                  smart,40,  0.24,  0.00,     *               |                   
#
 2,                   dumb,30,  0.26,  0.00,      *              |                   
 2,                  smart,20,  0.26,  0.00,      *              |                   
#
 3,                   dumb,40,  0.28,  0.00,       *             |                   
 3,                   dumb,50,  0.28,  0.00,       *             |                   
#
 4,                   dumb,20,  0.32,  0.00,         *           |                   
#
 5,                asIs,10000,  0.59,  0.13,           ------    *-------------      
