#
 0,                   dumb,30,  0.50,  0.00, *                   |                   
 0,                   dumb,50,  0.50,  0.00, *                   |                   
#
 1,                   dumb,20,  0.55,  0.00,     *               |                   
#
 2,                  smart,20,  0.57,  0.00,      *              |                   
 2,                  smart,40,  0.57,  0.00,       *             |                   
#
 3,                  smart,30,  0.59,  0.00,        *            |                   
#
 4,                   dumb,40,  0.61,  0.00,          *          |                   
#
 5,                  smart,50,  0.63,  0.00,            *        |                   
#
 6,                  asIs,196,  0.75,  0.12,          --------   *      -----------  
